gene,mean_group1,mean_group2,delta_mean,effect_size,pct_group1,pct_group2
FAM111B,0.20463557271501778,0.2654652849155071,-0.0608297122004893,-0.18318795217877187,0.36363636363636426,0.5057891529555218
GTF2E2,0.1830139701629284,0.22792215898326623,-0.04490818882033784,-0.1832821695886012,0.47402597402597657,0.5959780621572313
KIAA1671,0.003551068142307503,0.012633596673336179,-0.009082528531028675,-0.18341524905339376,0.012059369202226347,0.049360146252285214
CRELD2,0.1865564597097378,0.2301904625907267,-0.0436340028809889,-0.18348745927090584,0.4916512059369231,0.5892748324192664
TBC1D31,0.07664844740544445,0.10910127440106485,-0.032452826995620396,-0.18350811566304875,0.22170686456400643,0.34430225472273135
AP1S1,0.14107151864771925,0.17888691358520262,-0.03781539493748337,-0.18351366408396294,0.4072356215213372,0.5265082266910497
PRR5,0.09820435187342215,0.13332899877413562,-0.03512464690071347,-0.18353729367486932,0.29035250463821827,0.4009750152346163
ARHGEF12,0.016060871089603038,0.034120709302484335,-0.018059838212881298,-0.183574098694041,0.0500927643784787,0.12004875076173006
DUS2,0.0611556005673407,0.08875153078668852,-0.027595930219347815,-0.1837292231744108,0.21428571428571339,0.29006703229737907
SNF8,0.32692094855921167,0.37922453397672395,-0.05230358541751229,-0.18373600485074537,0.6818181818181771,0.7720901889092179
ENSG00000286931,0.022272765138986732,0.04071476177474598,-0.018441996635759246,-0.18383385067785726,0.07235621521335815,0.14747105423522155
VPS4B,0.29416057541569274,0.3473300756183061,-0.05316950020261335,-0.18390999349142736,0.6465677179962862,0.7428397318708256
PDXP,0.08318429236336704,0.11307706843891144,-0.0298927760755444,-0.18398257821343206,0.27087198515769845,0.37477148080438993
NCBP3,0.19845782202410786,0.24166152543686137,-0.04320370341275351,-0.18409365231161048,0.5250463821892413,0.623400365630724
SNX1,0.2718691381147279,0.3229978039370373,-0.051128665822309405,-0.18415340652048226,0.6252319109461943,0.72638634978673
ARHGEF3,0.1980929708931335,0.2483137734807741,-0.05022080258764061,-0.18423059064467323,0.4805194805194832,0.5825716026813015
CYB561D2,0.17461016161407253,0.2168635310912354,-0.04225336947716288,-0.18429962508636402,0.46103896103896336,0.5892748324192664
MPI,0.10752627880049612,0.141910326528907,-0.03438404772841089,-0.18433430123137437,0.3320964749536179,0.43083485679464173
EDEM1,0.1700532617240662,0.2142064524370092,-0.04415319071294299,-0.1844986791664008,0.44341372912801685,0.5752589884217034
ETV6,0.2197714377472312,0.27319810241854114,-0.05342666467130994,-0.1846833591469448,0.5120593692022288,0.623400365630724
MOB1A,0.5183856892570953,0.5790275950839364,-0.06064190582684115,-0.1847065452541685,0.8311688311688201,0.8909201706276864
IFT25,0.46271523470607695,0.526081467483237,-0.06336623277716008,-0.18471855949805316,0.7476808905380259,0.8403412553321331
LINC00861,0.19159227635108855,0.24965423959965669,-0.05806196324856813,-0.18488135743420528,0.41001855287569716,0.5191956124314516
DLG1,0.3866486403777674,0.45053013952560284,-0.06388149914783542,-0.1848926282461491,0.7244897959183608,0.8013406459476101
EMC9,0.05079278592232222,0.0775946528105184,-0.026801866888196184,-0.18508437389184848,0.1660482374768086,0.2608165752589868
MED30,0.21616414184377356,0.26172007054068464,-0.04555592869691108,-0.18535074039963764,0.5380333951762537,0.6593540524070811
CCNK,0.44586791534070636,0.5059204269813903,-0.060052511640683925,-0.18536594754955174,0.7857142857142766,0.8641072516758268
SSNA1,0.42639484377710896,0.48414649273260557,-0.057751648955496615,-0.1853722583397944,0.7690166975881177,0.8567946374162287
GPX1,0.3698306955845792,0.4267553700139609,-0.056924674429381705,-0.18544977541856972,0.712430426716135,0.7982937233394443
NCKAP1L,0.41185249587518213,0.47151768815399664,-0.059665192278814505,-0.18549138015167152,0.7486085343228125,0.8464351005484648
C2CD3,0.10818634023147686,0.14574517369808895,-0.037558833466612096,-0.1856881923560096,0.3228200371057513,0.42778793418647587
ENSG00000283674,0.02886285526070216,0.05117990445938944,-0.02231704919868728,-0.18571374611511463,0.08348794063079788,0.1718464351005473
SMPD4,0.1725439208017518,0.2152634189387697,-0.04271949813701792,-0.1857323184913468,0.47495361781076323,0.570383912248638
PNPLA8,0.17733587261686265,0.2240043950466396,-0.046668522429776954,-0.18587263761305117,0.4359925788497236,0.5819622181596683
RBM14,0.16642431254341533,0.2091270863456363,-0.042702773802220956,-0.18589254920275558,0.4359925788497236,0.549055453991477
H2AC12,0.16123549208736074,0.22937311561082915,-0.06813762352346842,-0.1859551521862714,0.2699443413729118,0.4015843997562495
VPS13B,0.4223999469163578,0.49493066655350054,-0.07253071963714275,-0.1859933992658555,0.7430426716140929,0.8074344911639418
ENSG00000272449,0.02875364636468936,0.05049937552895323,-0.021745729164263868,-0.18604551655156584,0.09183673469387768,0.16697135892748216
GRAMD4,0.08427818210947076,0.11636541304354704,-0.03208723093407628,-0.18613677569942605,0.2653061224489785,0.3686776355880582
TTTY14,0.010955841599989273,0.028203414000994187,-0.017247572401004913,-0.18618160170126144,0.03246753246753246,0.08836075563680658
EXOSC9,0.34390011609389604,0.40390572345242576,-0.06000560735852972,-0.18624247232090932,0.6753246753246709,0.7672151127361525
MSL3,0.19447241540229804,0.24254654768314998,-0.048074132280851944,-0.1863293651021997,0.4860853432282031,0.605728214503362
ZDHHC20,0.4039975104338387,0.4681967526887245,-0.06419924225488582,-0.1864119515693951,0.7448979591836661,0.8123095673370072
RBBP5,0.11138361397963215,0.1477582291320269,-0.03637461515239476,-0.18648083160139045,0.32653061224489793,0.44972577696527005
ENSG00000268027,0.15844694781244498,0.20340122991731194,-0.04495428210486696,-0.18648288051147396,0.41001855287569716,0.5283363802559492
DDX23,0.16044779103157764,0.20415670294582963,-0.043708911914252,-0.1865131850158381,0.4174397031539904,0.5521023765996429
STAMBP,0.1130151546339522,0.15020794553195838,-0.03719279089800617,-0.18656098930841708,0.3274582560296846,0.4363193174893403
LINC01891,0.015552569056989278,0.034629396410431466,-0.01907682735344219,-0.18656967598471202,0.04545454545454548,0.09993906154783631
HRH2,0.0038325644145213488,0.01367976708715884,-0.00984720267263749,-0.1865954292917277,0.01298701298701299,0.05179768433881782
CEP350,0.3486608651690436,0.4103300870847243,-0.061669221915680694,-0.18666648930822285,0.6725417439703111,0.7702620353443184
TIMM23,0.22110344685211455,0.2659300163568845,-0.04482656950476996,-0.1866704419567537,0.558441558441559,0.6776355880560763
SCAF4,0.2243322546330399,0.2740209842386926,-0.04968872960565268,-0.18683770316389092,0.5473098330241197,0.6544789762340157
DHFR,0.37738121729724905,0.44845462796474606,-0.071073410667497,-0.18686157949776913,0.6224489795918345,0.7361365021328607
