TF1,TF2,correlation,abs_correlation
IKZF3,MYC,-0.8303030303030303,0.8303030303030303
KLF7,TBX21,-0.8303030303030303,0.8303030303030303
AHR,TRIM21,-0.8181818181818182,0.8181818181818182
BRD4,KLF2,-0.806060606060606,0.806060606060606
MYC,PRDM1,-0.806060606060606,0.806060606060606
PIM2,ZEB2,-0.806060606060606,0.806060606060606
BATF,FOXP1,-0.793939393939394,0.793939393939394
CREM,EOMES,-0.793939393939394,0.793939393939394
FOXP1,RUNX1,-0.793939393939394,0.793939393939394
HDAC3,JUN,-0.793939393939394,0.793939393939394
KLF7,TRIM21,-0.793939393939394,0.793939393939394
IKZF3,LEF1,-0.7818181818181819,0.7818181818181819
IRF9,MDM2,-0.7818181818181819,0.7818181818181819
KLF7,NFATC3,-0.7818181818181819,0.7818181818181819
ASXL1,IRF9,-0.7696969696969697,0.7696969696969697
BCL2,CBLB,-0.7696969696969697,0.7696969696969697
BCL2,HDAC3,-0.7696969696969697,0.7696969696969697
CREM,HDAC1,-0.7696969696969697,0.7696969696969697
ETS1,ZEB1,-0.7696969696969697,0.7696969696969697
GATA3,HDAC1,-0.7696969696969697,0.7696969696969697
HDAC1,JUNB,-0.7696969696969697,0.7696969696969697
HDAC2,LEF1,-0.7696969696969697,0.7696969696969697
HDAC3,KLF2,-0.7696969696969697,0.7696969696969697
KLF2,MDM2,-0.7696969696969697,0.7696969696969697
KLHL22,MDM2,-0.7696969696969697,0.7696969696969697
LEF1,ZEB2,-0.7696969696969697,0.7696969696969697
AHR,HAVCR2,-0.7575757575757576,0.7575757575757576
BACH2,TRIM21,-0.7575757575757576,0.7575757575757576
EZH2,JUNB,-0.7575757575757576,0.7575757575757576
FOXP1,HAVCR2,-0.7575757575757576,0.7575757575757576
RUNX1,TCF7,-0.7575757575757576,0.7575757575757576
HAVCR2,MYC,-0.7454545454545455,0.7454545454545455
HDAC1,NR4A2,-0.7454545454545455,0.7454545454545455
JUNB,RUNX1,-0.7454545454545455,0.7454545454545455
KLF7,SIRT2,-0.7454545454545455,0.7454545454545455
AHR,ETS1,-0.7333333333333333,0.7333333333333333
AHR,NFATC3,-0.7333333333333333,0.7333333333333333
BACH2,HDAC1,-0.7333333333333333,0.7333333333333333
BHLHE40,EOMES,-0.7333333333333333,0.7333333333333333
EZH2,ID2,-0.7333333333333333,0.7333333333333333
HDAC2,KLF7,-0.7333333333333333,0.7333333333333333
HDAC3,IKZF1,-0.7333333333333333,0.7333333333333333
HDAC3,JUNB,-0.7333333333333333,0.7333333333333333
IRF9,STAT5A,-0.7333333333333333,0.7333333333333333
KLHL22,ZEB2,-0.7333333333333333,0.7333333333333333
MYC,NFATC2,-0.7333333333333333,0.7333333333333333
TCF7,TRIM21,-0.7333333333333333,0.7333333333333333
ASXL1,ETS1,-0.7212121212121212,0.7212121212121212
BACH2,HDAC6,-0.7212121212121212,0.7212121212121212
