TF1,TF2,correlation,abs_correlation
NR4A3,ZEB2,-0.5636363636363636,0.5636363636363636
AHR,HDAC1,-0.5515151515151515,0.5515151515151515
BACH2,TOX,-0.5515151515151515,0.5515151515151515
BATF,TCF7,-0.5515151515151515,0.5515151515151515
BRD7,TCF7,-0.5515151515151515,0.5515151515151515
EOMES,STAT3,-0.5515151515151515,0.5515151515151515
FOXO1,IKZF3,-0.5515151515151515,0.5515151515151515
AHR,BRD7,-0.5393939393939394,0.5393939393939394
BRD7,FOXP1,-0.5393939393939394,0.5393939393939394
HDAC2,KLF7,-0.5393939393939394,0.5393939393939394
KLHL22,ZEB2,-0.5393939393939394,0.5393939393939394
LEF1,NFATC3,-0.5393939393939394,0.5393939393939394
MAF,ZEB2,-0.5393939393939394,0.5393939393939394
